// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
05777	76578357	0.095096	0.048386	9.820932	-0.003500	-0.004147	-0.003418
05778	76578382	0.103433	0.036356	9.811242	0.004457	0.015886	-0.014919
05779	76578407	0.112060	0.021396	9.822188	0.006549	-0.012897	-0.003548
05780	76578432	0.113098	0.035109	9.805667	0.002024	0.001085	-0.004598
05781	76578457	0.098016	0.038914	9.819545	0.001781	0.014864	-0.003694
05782	76578482	0.110604	0.028202	9.813937	-0.016779	0.010520	-0.001054
05783	76578507	0.097956	0.047060	9.814025	-0.005053	0.009669	0.012305
05784	76578532	0.098018	0.032207	9.815424	-0.000721	-0.006185	0.000188
05785	76578557	0.103511	0.023876	9.798896	0.007617	-0.003994	0.000362
05786	76578582	0.110326	0.039098	9.808433	0.000818	0.002643	0.005586
05787	76578607	0.092369	0.040234	9.814091	-0.004375	0.008714	-0.007132
05788	76578632	0.079931	0.055039	9.815551	-0.011775	-0.000611	-0.011496
05789	76578657	0.110333	0.036364	9.808450	0.008972	-0.007272	-0.015117
05790	76578682	0.081634	0.026502	9.808701	0.005968	-0.001425	-0.000800
05791	76578707	0.086822	0.049752	9.815497	-0.000913	0.010549	0.005423
05792	76578732	0.098197	0.023992	9.819573	0.000651	-0.004217	0.011115
05793	76578757	0.080348	0.025179	9.823842	0.009415	0.014532	0.002259
05794	76578782	0.106258	0.041744	9.819450	-0.007506	0.011133	0.003539
05795	76578807	0.088246	0.048394	9.818241	-0.015917	0.017920	0.005299
05796	76578832	0.096414	0.048503	9.809917	-0.002268	-0.000300	-0.002141
05797	76578857	0.104906	0.032244	9.812614	0.007030	0.026046	-0.005580
05798	76578882	0.076265	0.029098	9.819747	-0.005968	0.003770	-0.005613
05799	76578907	0.095254	0.037457	9.812696	-0.009124	0.005303	-0.004455
05800	76578932	0.104765	0.037694	9.802990	0.006965	-0.008494	0.017983
05801	76578957	0.107575	0.026811	9.796084	-0.016907	-0.000057	0.003934
05802	76578982	0.114259	0.044506	9.800144	0.008097	0.020196	-0.009906
05803	76579007	0.097591	0.064876	9.808511	0.002737	0.007819	0.011544
05804	76579032	0.111747	0.036440	9.802928	0.009574	0.019400	0.000004
05805	76579057	0.105050	0.025337	9.815383	-0.001025	-0.000255	0.002477
05806	76579082	0.106305	0.028068	9.815353	-0.008710	-0.004865	0.000875
05807	76579107	0.107460	0.048626	9.802939	0.024273	0.020997	-0.008729
05808	76579132	0.108952	0.039047	9.809821	0.003859	-0.001977	-0.000378
05809	76579157	0.093921	0.038852	9.808583	0.007854	0.007588	-0.003551
05810	76579182	0.095264	0.037522	9.818204	0.008197	0.015630	-0.014177
05811	76579207	0.087434	0.019747	9.836163	-0.002478	0.017965	-0.003767
05812	76579232	0.110622	0.029702	9.819442	0.007389	0.000846	0.004898
05813	76579257	0.083974	0.044183	9.807279	0.002773	0.022607	0.002392
05814	76579282	0.103429	0.045728	9.808482	-0.015646	0.005558	-0.006676
05815	76579307	0.085711	0.025140	9.808677	-0.006686	-0.008813	-0.027174
05816	76579332	0.104804	0.024023	9.794742	0.001056	-0.001566	-0.013828
05817	76579357	0.102229	0.029468	9.811263	-0.008771	-0.009328	-0.000533
05818	76579382	0.104651	0.048581	9.807098	0.010051	0.006603	0.003518
05819	76579407	0.103515	0.040385	9.823617	0.004317	0.023869	0.017332
05820	76579432	0.110319	0.043110	9.812552	0.015466	0.010511	0.008455
05821	76579457	0.105937	0.041920	9.793339	0.001976	-0.016189	0.001916
05822	76579482	0.128154	0.050142	9.815135	0.000152	0.015679	-0.005794
05823	76579507	0.107937	0.021433	9.822231	-0.002003	-0.000918	-0.000779
05824	76579532	0.096578	0.040281	9.798926	0.003034	0.000447	0.011639
05825	76579557	0.100802	0.038918	9.833274	0.002155	-0.016342	0.005376
05826	76579582	0.100803	0.037652	9.825022	-0.001144	0.005309	-0.012825
05827	76579607	0.091235	0.047151	9.834725	0.000735	0.001551	-0.005075
05828	76579632	0.108690	0.052674	9.796058	-0.008111	-0.012669	0.005324
05829	76579657	0.106224	0.047108	9.812582	-0.002564	0.001769	0.012055
05830	76579682	0.099426	0.040302	9.819527	0.002316	0.012733	0.013770
05831	76579707	0.115547	0.039112	9.794635	-0.010370	-0.000286	-0.009461
05832	76579732	0.096648	0.025265	9.804439	0.000410	-0.005242	0.000858
05833	76579757	0.096969	0.025341	9.826441	-0.000334	0.009352	-0.010471
05834	76579782	0.136471	0.025802	9.798593	-0.007962	0.001459	-0.007160
05835	76579807	0.096600	0.048474	9.820920	0.009970	0.005960	-0.001578
05836	76579832	0.077237	0.053631	9.821083	-0.000128	0.014937	-0.004168
05837	76579857	0.090929	0.044256	9.808585	-0.000505	0.023200	0.003213
05838	76579882	0.118999	0.006577	9.801523	-0.006108	-0.010532	-0.000058
05839	76579907	0.099284	0.037516	9.809901	-0.013120	0.008166	-0.009896
05840	76579932	0.090797	0.052598	9.798952	-0.011496	0.007167	-0.001884
05841	76579957	0.076025	0.027697	9.810124	-0.005531	-0.022829	-0.008996
05842	76579982	0.071935	0.027783	9.818418	-0.015998	0.002509	-0.014631
05843	76580007	0.092235	0.052453	9.804450	0.020114	-0.002576	0.009227
05844	76580032	0.102313	0.022692	9.809904	0.017942	-0.004083	-0.010878
05845	76580057	0.117121	0.037720	9.801496	0.004530	0.007926	-0.005239
05846	76580082	0.108460	0.067544	9.801536	-0.014605	-0.013886	0.002618
05847	76580107	0.116113	0.017313	9.815292	0.004725	-0.013342	0.002840
05848	76580132	0.105118	0.015839	9.812645	0.011379	-0.013055	0.003234
05849	76580157	0.096346	0.047079	9.804423	0.001720	0.008206	0.003189
05850	76580182	0.126599	0.048835	9.800024	0.005965	0.009887	0.005549
05851	76580207	0.121288	0.039266	9.806954	-0.010885	-0.009154	-0.008069
05852	76580232	0.111725	0.022753	9.807068	-0.001322	-0.003114	-0.004996
05853	76580257	0.100839	0.023956	9.807169	0.006454	0.000998	0.002585
05854	76580282	0.106076	0.052595	9.815330	0.014548	0.011335	-0.003579
05855	76580307	0.111789	0.035039	9.805668	0.005241	0.009245	0.011593
05856	76580332	0.089437	0.038807	9.790727	-0.018664	0.012128	0.000769
05857	76580357	0.092572	0.030746	9.807212	-0.017793	-0.001442	-0.000137
05858	76580382	0.111423	0.051418	9.816663	0.007868	-0.007223	-0.013074
05859	76580407	0.103457	0.045854	9.813982	-0.000530	0.001299	-0.007726
05860	76580432	0.106327	0.021423	9.808490	-0.000909	0.027831	-0.003268
05861	76580457	0.118560	0.048692	9.812475	-0.002493	0.004779	-0.014387
05862	76580482	0.106286	0.041803	9.819464	-0.016728	-0.021291	0.007272
05863	76580507	0.110576	0.032272	9.818076	0.007147	-0.007011	0.018919
05864	76580532	0.093911	0.044353	9.830577	0.001609	0.010833	0.004601
05865	76580557	0.103714	0.023992	9.815391	0.011498	0.014974	0.018629
05866	76580582	0.095304	0.045700	9.811307	0.006878	0.011963	0.000235
05867	76580607	0.114680	0.020002	9.816666	-0.007378	0.009200	-0.000803
05868	76580632	0.086872	0.053711	9.816862	0.000161	0.008877	0.002167
05869	76580657	0.119896	0.047423	9.805590	0.000149	0.002852	0.004296
05870	76580682	0.107585	0.038954	9.805711	0.003643	0.013216	0.002077
05871	76580707	0.096607	0.040346	9.812677	0.017995	0.004445	0.008593
