// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: vru_general(43.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
11646	61979482	-9.807826	-0.227238	0.076949	-0.000589	0.002427	0.000834
11647	61979507	-9.806614	-0.210930	0.079648	0.010462	-0.006898	-0.003091
11648	61979532	-9.798698	-0.205465	0.052040	-0.005735	0.006235	-0.007454
11649	61979557	-9.802688	-0.208039	0.063156	0.007793	-0.012843	0.005227
11650	61979582	-9.806498	-0.219080	0.082348	0.001548	-0.020222	-0.007108
11651	61979607	-9.792538	-0.235183	0.082385	-0.004640	0.009155	0.003342
11652	61979632	-9.811066	-0.191925	0.068720	-0.001039	0.006130	0.014278
11653	61979657	-9.801276	-0.200001	0.075506	-0.013322	0.007574	0.001259
11654	61979682	-9.797321	-0.190393	0.069892	-0.008947	0.020307	0.010923
11655	61979707	-9.798559	-0.197051	0.075475	-0.006172	0.017601	0.002638
11656	61979732	-9.786285	-0.195741	0.065748	-0.013083	-0.003059	0.004560
11657	61979757	-9.804437	-0.168640	0.071323	-0.013949	-0.005580	0.019993
11658	61979782	-9.804124	-0.193131	0.074207	-0.010389	0.008620	-0.000922
11659	61979807	-9.808111	-0.212300	0.065910	0.006673	0.012346	-0.002947
11660	61979832	-9.802341	-0.209492	0.096055	0.000355	0.007597	-0.004344
11661	61979857	-9.809000	-0.240893	0.081075	0.005594	-0.005282	0.005198
11662	61979882	-9.820368	-0.215133	0.075698	-0.012128	-0.005095	-0.014126
11663	61979907	-9.822838	-0.235485	0.079909	0.012551	0.001985	0.016023
11664	61979932	-9.798560	-0.204043	0.067251	0.000922	-0.003326	-0.007640
11665	61979957	-9.816373	-0.208184	0.070189	0.005686	0.004597	0.025003
11666	61979982	-9.810625	-0.219257	0.081089	-0.025894	0.012797	0.012745
11667	61980007	-9.795966	-0.179465	0.079556	0.019893	0.003134	0.007994
11668	61980032	-9.796921	-0.210723	0.086489	0.003178	-0.009887	-0.006603
11669	61980057	-9.803908	-0.202736	0.084999	0.003925	-0.009853	0.000733
11670	61980082	-9.825862	-0.216437	0.074385	-0.003235	0.016585	0.016485
11671	61980107	-9.807944	-0.209529	0.086593	0.007832	-0.013913	0.003254
11672	61980132	-9.811856	-0.227285	0.085197	0.007141	0.014882	0.001799
11673	61980157	-9.800955	-0.228463	0.074209	-0.017244	0.007741	0.005613
11674	61980182	-9.797029	-0.213603	0.071406	0.002880	-0.004770	-0.003761
11675	61980207	-9.805230	-0.205448	0.086516	0.004402	-0.013004	0.019160
11676	61980232	-9.788786	-0.201069	0.084967	0.017032	0.003748	-0.006402
11677	61980257	-9.815398	-0.163357	0.082395	-0.010769	0.017971	0.005561
11678	61980282	-9.788888	-0.205302	0.068575	-0.002773	0.006293	-0.003859
11679	61980307	-9.797586	-0.176741	0.058909	0.015949	-0.009626	-0.018719
11680	61980332	-9.802877	-0.197326	0.056206	-0.007172	0.005272	-0.005686
11681	61980357	-9.799991	-0.197073	0.070008	0.013866	0.006859	0.013837
11682	61980382	-9.802458	-0.213557	0.078336	0.009768	0.012557	0.007711
11683	61980407	-9.796933	-0.218966	0.074089	0.004348	0.002041	0.011431
11684	61980432	-9.819071	-0.217706	0.064699	0.006558	-0.011857	-0.002459
11685	61980457	-9.802392	-0.224476	0.072694	-0.009882	-0.001182	-0.012042
11686	61980482	-9.809382	-0.223276	0.061852	0.005610	0.032219	-0.004169
11687	61980507	-9.808220	-0.200014	0.068638	-0.003368	0.009836	0.003533
11688	61980532	-9.814993	-0.198755	0.081160	-0.007929	-0.013942	0.021160
11689	61980557	-9.790322	-0.203969	0.064443	0.009412	-0.004563	-0.010914
11690	61980582	-9.808085	-0.206756	0.075573	0.001478	0.025795	-0.018409
11691	61980607	-9.793011	-0.209456	0.065846	0.016965	-0.006512	-0.007868
11692	61980632	-9.780662	-0.200954	0.072664	-0.018314	-0.010608	-0.001109
11693	61980657	-9.790570	-0.187579	0.060197	0.005959	0.009704	-0.003208
11694	61980682	-9.790480	-0.191715	0.064326	0.011133	0.005068	-0.004220
11695	61980707	-9.809526	-0.202676	0.072834	-0.012642	-0.005382	0.011086
11696	61980732	-9.787548	-0.192935	0.080976	-0.005093	0.009851	-0.001009
11697	61980757	-9.809400	-0.216429	0.070120	0.004514	-0.014101	-0.012566
11698	61980782	-9.817111	-0.236915	0.100442	0.011712	0.007355	-0.024286
11699	61980807	-9.827047	-0.217792	0.092167	0.006710	-0.001849	-0.002222
11700	61980832	-9.809317	-0.221794	0.071456	-0.003262	0.013833	0.001550
11701	61980857	-9.801169	-0.221812	0.060498	-0.007387	0.010562	0.002998
11702	61980882	-9.790475	-0.187529	0.069860	0.001085	-0.015862	-0.014722
11703	61980907	-9.790397	-0.199802	0.062951	-0.002378	-0.001237	-0.020549
11704	61980932	-9.800938	-0.227184	0.078271	-0.016272	0.002231	-0.010610
11705	61980957	-9.803877	-0.198612	0.093378	-0.006425	0.000760	0.015326
11706	61980982	-9.817772	-0.209729	0.066049	-0.015055	-0.017439	0.002229
11707	61981007	-9.783700	-0.187483	0.058799	0.014155	-0.006020	-0.013427
11708	61981032	-9.791681	-0.191670	0.082298	-0.001861	-0.008471	-0.008225
11709	61981057	-9.776459	-0.199482	0.082103	0.008313	-0.023025	0.000164
11710	61981082	-9.804033	-0.198650	0.076778	0.001010	0.007224	-0.008763
11711	61981107	-9.813405	-0.227337	0.068729	0.000037	0.012232	0.000051
11712	61981132	-9.798434	-0.193013	0.093378	0.025381	0.005244	0.008377
11713	61981157	-9.813306	-0.228682	0.078363	0.007017	-0.019814	-0.003660
11714	61981182	-9.819143	-0.209755	0.066072	0.010832	0.000198	0.019298
11715	61981207	-9.827147	-0.219260	0.081165	-0.010704	-0.012988	-0.003168
11716	61981232	-9.803954	-0.210836	0.069990	-0.003649	0.007020	-0.012356
11717	61981257	-9.804357	-0.178195	0.068577	0.003049	0.013064	-0.002061
11718	61981282	-9.799824	-0.216247	0.064573	-0.014977	-0.006431	-0.007321
11719	61981307	-9.790117	-0.208038	0.082170	0.001360	0.006914	-0.002439
11720	61981332	-9.802337	-0.227232	0.074229	0.011730	0.018489	0.000754
11721	61981357	-9.809654	-0.195959	0.068669	0.005306	0.002675	-0.003666
11722	61981382	-9.799548	-0.221726	0.085155	0.001045	0.009970	0.005160
11723	61981407	-9.806483	-0.204032	0.101663	0.012620	0.002107	-0.005916
11724	61981432	-9.817277	-0.235528	0.085270	0.013007	-0.003508	-0.003520
11725	61981457	-9.795572	-0.221641	0.070038	0.005010	-0.003542	0.006686
