// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
28913	64049557	-9.812499	-0.189224	0.066002	0.006203	0.013596	0.001183
28914	64049582	-9.822068	-0.201513	0.059157	0.013059	-0.011805	0.015320
28915	64049607	-9.816356	-0.194659	0.087981	0.011390	-0.011793	0.012878
28916	64049632	-9.798529	-0.210782	0.061734	0.014858	0.000666	0.009978
28917	64049657	-9.816454	-0.205463	0.064655	-0.008801	0.012256	0.013180
28918	64049682	-9.815296	-0.190652	0.060562	-0.015795	0.017825	0.003460
28919	64049707	-9.794092	-0.227068	0.074123	-0.004373	0.001948	-0.001742
28920	64049732	-9.779643	-0.187428	0.051850	0.015394	0.002238	-0.005040
28921	64049757	-9.775391	-0.187353	0.064230	0.001916	0.020504	0.006540
28922	64049782	-9.815084	-0.200169	0.070064	0.002554	-0.000851	-0.003314
28923	64049807	-9.815286	-0.187834	0.064557	0.003755	0.000139	-0.008889
28924	64049832	-9.797415	-0.189025	0.061781	0.009641	-0.006180	-0.011803
28925	64049857	-9.819505	-0.194834	0.046666	0.001879	0.003789	-0.010595
28926	64049882	-9.798490	-0.209408	0.067241	-0.007172	0.004591	-0.004259
28927	64049907	-9.801380	-0.191701	0.075451	-0.000027	0.004618	0.016999
28928	64049932	-9.804041	-0.195902	0.078326	-0.005136	0.012612	0.000057
28929	64049957	-9.811088	-0.200066	0.057771	0.006025	0.014997	0.004576
28930	64049982	-9.835857	-0.200331	0.056671	0.001244	-0.009057	0.001954
28931	64050007	-9.805574	-0.189175	0.071240	0.009795	-0.000823	0.008026
28932	64050032	-9.795779	-0.214842	0.057684	-0.006554	-0.011189	0.001708
28933	64050057	-9.831786	-0.182671	0.072939	0.001056	-0.018477	0.006269
28934	64050082	-9.786344	-0.190236	0.065689	0.009538	0.003740	0.000736
28935	64050107	-9.798427	-0.223052	0.057724	-0.001770	0.012878	0.003445
28936	64050132	-9.776785	-0.190203	0.058778	0.011295	-0.003342	0.011222
28937	64050157	-9.787497	-0.199742	0.078008	-0.005490	-0.000370	0.011176
28938	64050182	-9.790102	-0.209471	0.080902	-0.012495	0.012796	-0.013718
28939	64050207	-9.799990	-0.199799	0.067203	-0.001727	0.007854	-0.015420
28940	64050232	-9.798543	-0.193078	0.082299	0.013624	0.014178	-0.012831
28941	64050257	-9.817694	-0.206891	0.077013	0.003935	0.008048	-0.009523
28942	64050282	-9.789035	-0.187482	0.075353	-0.008534	0.018309	0.006299
28943	64050307	-9.806692	-0.216399	0.064706	-0.002246	-0.007252	0.001614
28944	64050332	-9.802531	-0.208273	0.078206	0.010400	-0.023977	0.004567
28945	64050357	-9.810579	-0.221815	0.083779	0.004056	-0.002691	-0.021586
28946	64050382	-9.793197	-0.194404	0.064504	-0.000237	0.021900	-0.012004
28947	64050407	-9.784981	-0.205232	0.046516	-0.011769	0.014843	0.006793
28948	64050432	-9.794273	-0.213450	0.072724	0.020038	-0.002067	0.006711
28949	64050457	-9.820387	-0.202968	0.088009	0.020507	0.003132	-0.012536
28950	64050482	-9.814822	-0.226003	0.066133	0.020054	-0.003096	-0.000629
28951	64050507	-9.810760	-0.205465	0.083910	0.019531	0.014110	0.003125
28952	64050532	-9.805440	-0.195929	0.076864	0.000305	-0.000322	-0.003101
28953	64050557	-9.826019	-0.208466	0.067493	-0.009988	0.007825	0.007960
28954	64050582	-9.814969	-0.193274	0.090752	-0.006701	-0.006285	0.018065
28955	64050607	-9.803953	-0.204052	0.078311	0.011250	0.009805	0.006077
28956	64050632	-9.823364	-0.215278	0.049637	-0.003423	-0.006726	0.003108
28957	64050657	-9.810940	-0.206833	0.064529	0.005668	-0.001423	-0.007251
28958	64050682	-9.819286	-0.193371	0.071417	0.000587	-0.000373	-0.004055
28959	64050707	-9.819186	-0.194651	0.079825	-0.004801	0.000715	0.002004
28960	64050732	-9.806422	-0.221813	0.085164	-0.005458	0.002682	0.011234
28961	64050757	-9.799991	-0.195776	0.071350	0.006589	0.000875	-0.007196
28962	64050782	-9.793214	-0.199926	0.056233	0.011151	-0.015016	0.019889
28963	64050807	-9.812498	-0.191942	0.063093	-0.003128	0.000815	-0.002217
28964	64050832	-9.810948	-0.193173	0.079586	0.000742	0.005214	0.021335
28965	64050857	-9.808344	-0.194604	0.063266	0.003286	0.011589	-0.003967
28966	64050882	-9.806960	-0.210926	0.043897	0.012885	-0.013673	0.000651
28967	64050907	-9.807014	-0.209570	0.039795	-0.000314	0.024097	-0.007333
28968	64050932	-9.793032	-0.202661	0.071260	-0.000337	-0.003137	0.003019
28969	64050957	-9.807065	-0.190442	0.057738	0.008230	0.007503	-0.017007
28970	64050982	-9.807027	-0.191845	0.060501	-0.005747	0.034694	-0.007829
28971	64051007	-9.806864	-0.210902	0.054940	-0.003818	-0.008506	-0.003612
28972	64051032	-9.803952	-0.206817	0.075486	-0.006068	-0.004730	0.006779
28973	64051057	-9.803959	-0.217687	0.061805	0.020815	-0.000112	-0.013140
28974	64051082	-9.801426	-0.195874	0.065832	-0.004658	-0.000963	0.010160
28975	64051107	-9.794599	-0.184845	0.072635	-0.006469	0.000827	0.026397
28976	64051132	-9.813746	-0.200126	0.067346	0.012839	-0.003040	-0.014941
28977	64051157	-9.796403	-0.159012	0.060203	0.019325	0.000587	-0.007352
28978	64051182	-9.784841	-0.191604	0.078075	-0.009578	-0.009322	0.002590
28979	64051207	-9.796150	-0.173965	0.068580	-0.005034	-0.002442	0.009015
28980	64051232	-9.782071	-0.187470	0.084948	-0.006124	-0.007866	0.009644
28981	64051257	-9.806572	-0.220407	0.072838	-0.015572	-0.013584	0.000986
28982	64051282	-9.793163	-0.186265	0.078199	0.000650	0.009476	-0.003004
28983	64051307	-9.802664	-0.205393	0.068617	-0.002742	-0.008297	-0.016111
