// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
43841	59507557	-9.824561	-0.214377	0.099581	-0.011130	-0.000195	0.017342
43842	59507582	-9.795668	-0.214084	0.099299	-0.004517	0.016138	0.001310
43843	59507607	-9.824322	-0.240268	0.092607	-0.000595	0.010696	0.011025
43844	59507632	-9.815098	-0.210306	0.087185	0.010146	-0.012979	0.008906
43845	59507657	-9.807934	-0.219716	0.104869	-0.008678	-0.002694	0.006330
43846	59507682	-9.817291	-0.230666	0.120115	0.002681	0.002524	0.000793
43847	59507707	-9.791405	-0.215332	0.111775	0.014417	-0.009781	-0.014615
43848	59507732	-9.803791	-0.221013	0.104910	0.020826	-0.006309	0.008121
43849	59507757	-9.805307	-0.219644	0.092512	0.004579	0.006932	-0.011793
43850	59507782	-9.781838	-0.208461	0.114258	0.003250	-0.014694	-0.014636
43851	59507807	-9.787195	-0.220781	0.114339	0.021516	-0.005783	-0.000171
43852	59507832	-9.800889	-0.234611	0.103567	-0.012636	0.004731	0.004421
43853	59507857	-9.798393	-0.215384	0.100623	-0.002196	-0.004272	0.013398
43854	59507882	-9.784666	-0.202984	0.112922	0.006320	-0.005335	-0.006454
43855	59507907	-9.803676	-0.230531	0.106212	-0.000085	0.005184	-0.005195
43856	59507932	-9.798553	-0.203088	0.099362	-0.012232	0.002554	0.008167
43857	59507957	-9.791805	-0.195081	0.096481	0.003801	-0.000839	0.008614
43858	59507982	-9.795677	-0.211390	0.102071	-0.001758	0.007401	-0.004987
43859	59508007	-9.813523	-0.203337	0.115902	-0.002967	0.004214	0.018866
43860	59508032	-9.811242	-0.181695	0.093996	0.015843	0.003229	0.004017
43861	59508057	-9.820360	-0.229412	0.088521	-0.008859	0.013179	-0.003302
43862	59508082	-9.790227	-0.205780	0.103378	-0.012705	0.000706	0.010279
43863	59508107	-9.812168	-0.226536	0.085752	0.009635	0.003219	-0.009076
43864	59508132	-9.794422	-0.208492	0.093760	0.023873	-0.014238	0.012830
43865	59508157	-9.809467	-0.211575	0.099261	0.007676	0.003910	0.030811
43866	59508182	-9.780660	-0.209808	0.090920	-0.009623	0.004707	0.009853
43867	59508207	-9.816380	-0.221154	0.083058	0.000766	0.019009	0.000255
43868	59508232	-9.816454	-0.201975	0.099436	0.008777	0.013496	0.010729
43869	59508257	-9.800937	-0.226387	0.109146	0.017595	0.020505	-0.002842
43870	59508282	-9.804240	-0.204653	0.078818	0.004587	0.007616	0.007699
43871	59508307	-9.826274	-0.204977	0.076134	-0.001496	0.017399	-0.003132
43872	59508332	-9.803856	-0.227794	0.089826	0.017594	0.009960	-0.024273
43873	59508357	-9.798415	-0.212712	0.102116	0.017093	-0.010474	0.012423
43874	59508382	-9.805438	-0.212900	0.086937	0.011438	0.003321	0.008312
43875	59508407	-9.822914	-0.237544	0.099544	0.000732	-0.011021	0.015379
43876	59508432	-9.816607	-0.207350	0.077428	-0.006659	-0.009947	-0.010899
43877	59508457	-9.820556	-0.211640	0.089846	0.007133	-0.008419	0.025484
43878	59508482	-9.813805	-0.195196	0.096755	-0.004999	0.014608	-0.002633
