// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
46741	74325657	9.809030	-0.316180	-0.220672	0.011377	-0.011374	0.005174
46742	74325682	9.825508	-0.309158	-0.215243	0.011286	-0.016242	-0.006966
46743	74325707	9.810314	-0.318799	-0.234356	-0.016144	-0.007474	0.002098
46744	74325732	9.833660	-0.310468	-0.227710	0.016269	0.016274	0.005412
46745	74325757	9.831079	-0.314561	-0.215210	-0.011264	-0.010902	0.001960
46746	74325782	9.824307	-0.329645	-0.222045	-0.002448	-0.003822	0.009865
46747	74325807	9.811959	-0.322874	-0.211073	0.021017	-0.003223	0.004986
46748	74325832	9.769322	-0.323538	-0.207930	-0.007877	0.004262	0.012705
46749	74325857	9.821807	-0.351370	-0.223453	-0.010453	-0.000231	0.002263
46750	74325882	9.806525	-0.327063	-0.208206	0.003886	0.026983	0.004791
46751	74325907	9.823185	-0.333795	-0.201512	-0.002818	-0.002876	-0.002089
46752	74325932	9.828547	-0.324180	-0.202931	0.011320	0.013107	0.000881
46753	74325957	9.806575	-0.335259	-0.212442	-0.003166	0.002605	-0.001839
46754	74325982	9.812070	-0.328406	-0.205453	-0.004791	-0.000973	-0.004068
46755	74326007	9.828389	-0.318652	-0.213869	0.013849	0.019762	-0.002274
46756	74326032	9.827404	-0.336254	-0.195874	-0.004885	0.008348	0.006904
46757	74326057	9.825803	-0.333787	-0.213897	0.020328	-0.002123	0.010827
46758	74326082	9.810417	-0.312015	-0.215128	-0.000352	-0.012869	0.009413
46759	74326107	9.792602	-0.321747	-0.219048	-0.019015	-0.017965	0.003429
46760	74326132	9.803863	-0.324342	-0.195774	-0.013806	-0.003161	-0.005330
46761	74326157	9.820175	-0.322908	-0.213873	0.009586	0.010855	-0.007540
46762	74326182	9.810707	-0.333764	-0.210939	0.001231	0.003052	-0.006197
46763	74326207	9.810663	-0.318891	-0.197191	0.011502	-0.003368	0.010449
46764	74326232	9.809421	-0.340846	-0.209612	0.004543	-0.006022	-0.013514
46765	74326257	9.818657	-0.320217	-0.224801	0.003102	0.013310	0.019103
46766	74326282	9.795624	-0.325782	-0.195756	-0.002022	0.016935	0.009857
46767	74326307	9.817630	-0.337836	-0.211021	0.010137	0.024658	0.001925
46768	74326332	9.836290	-0.296718	-0.223689	-0.009467	-0.002500	-0.012875
46769	74326357	9.829838	-0.326831	-0.216663	-0.003184	-0.000864	0.012238
46770	74326382	9.822915	-0.322780	-0.215322	0.017324	-0.008346	-0.000627
46771	74326407	9.813437	-0.332474	-0.210978	0.003958	-0.004141	-0.010802
46772	74326432	9.803826	-0.339390	-0.217821	-0.025676	0.000754	-0.000834
46773	74326457	9.820149	-0.331079	-0.226183	0.014342	0.000896	-0.021781
46774	74326482	9.832360	-0.325503	-0.237370	0.007348	0.011854	0.004357
46775	74326507	9.813439	-0.340669	-0.220605	0.008734	-0.006337	-0.002719
46776	74326532	9.814611	-0.321581	-0.219250	-0.011376	-0.008424	0.016971
46777	74326557	9.810319	-0.318807	-0.231657	0.005785	0.001960	0.009558
46778	74326582	9.815955	-0.321456	-0.223409	0.012296	-0.006171	-0.004965
46779	74326607	9.818761	-0.318785	-0.213760	0.016285	-0.010270	-0.017737
46780	74326632	9.824552	-0.351441	-0.223418	-0.009249	-0.013450	0.000203
46781	74326657	9.810428	-0.320214	-0.223339	0.000778	-0.000526	0.002916
46782	74326682	9.810676	-0.339341	-0.220629	-0.015235	0.004722	-0.002091
46783	74326707	9.822985	-0.343299	-0.232999	0.002930	0.005397	-0.001995
46784	74326732	9.826962	-0.325417	-0.227652	0.016341	-0.000414	0.005870
46785	74326757	9.827460	-0.351339	-0.206995	0.004634	0.000316	0.011946
46786	74326782	9.840660	-0.307575	-0.211242	0.004441	0.022420	-0.011432
46787	74326807	9.825880	-0.350004	-0.226218	0.010689	0.007369	-0.011471
46788	74326832	9.846028	-0.303583	-0.220901	0.001444	-0.009286	-0.012268
46789	74326857	9.802312	-0.325793	-0.215059	-0.016567	0.011757	0.006720
46790	74326882	9.810643	-0.340656	-0.224704	0.019717	0.008988	-0.004087
46791	74326907	9.814266	-0.299829	-0.228934	0.011826	-0.002648	0.003108
