// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
22923	75368607	9.804267	-0.337375	-0.218266	0.003107	-0.002037	-0.017047
22924	75368632	9.831249	-0.288061	-0.213075	-0.009102	-0.009471	-0.004356
22925	75368657	9.790378	-0.332236	-0.225005	0.005168	-0.015076	0.005215
22926	75368682	9.828882	-0.324808	-0.218524	-0.000371	0.007144	-0.007418
22927	75368707	9.833062	-0.316661	-0.203433	-0.003468	0.014938	0.007787
22928	75368732	9.835956	-0.342510	-0.219969	-0.008188	0.000414	-0.006764
22929	75368757	9.823031	-0.303215	-0.227998	0.020903	-0.013089	-0.012149
22930	75368782	9.827212	-0.288202	-0.204680	0.011547	0.011981	0.014964
22931	75368807	9.819467	-0.328980	-0.201954	-0.000511	-0.004023	-0.005952
22932	75368832	9.843593	-0.300167	-0.232284	-0.008568	-0.002068	0.000039
22933	75368857	9.835342	-0.300434	-0.232334	-0.006142	-0.020249	-0.008392
22934	75368882	9.831720	-0.331628	-0.218405	-0.002673	0.003333	0.017466
22935	75368907	9.839584	-0.294696	-0.213132	0.007428	0.012116	-0.010444
22936	75368932	9.824487	-0.303234	-0.219890	0.003459	0.001165	-0.022285
22937	75368957	9.834275	-0.320715	-0.224038	-0.005382	-0.002933	-0.010499
22938	75368982	9.827402	-0.328918	-0.234959	0.001565	-0.018276	-0.005232
22939	75369007	9.831355	-0.301725	-0.218408	-0.006139	0.002259	-0.009018
22940	75369032	9.811173	-0.345529	-0.225247	-0.010224	0.005144	-0.006981
22941	75369057	9.832532	-0.271720	-0.203401	-0.004929	-0.007132	-0.009121
22942	75369082	9.830366	-0.314012	-0.193765	0.000128	0.002696	-0.009921
22943	75369107	9.822174	-0.345364	-0.225299	0.008157	0.005579	-0.000437
22944	75369132	9.824600	-0.316795	-0.223965	-0.003749	0.006416	-0.001161
22945	75369157	9.818986	-0.315499	-0.233527	-0.008419	0.001560	-0.005680
22946	75369182	9.820515	-0.320831	-0.225346	0.019689	0.019386	0.014371
