// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
18291	38601755	6.657521	7.208023	-0.026731	0.002418	0.000718	0.001736
18292	38601780	6.662441	7.247584	-0.036410	0.005957	0.018927	-0.001383
18293	38601805	6.621193	7.233438	-0.051153	-0.009620	0.006002	-0.006747
18294	38601830	6.636022	7.179100	-0.016839	-0.000723	0.004108	-0.001459
18295	38601855	6.653837	7.186180	-0.010091	-0.010516	-0.002055	0.005034
18296	38601880	6.652463	7.282862	-0.029417	-0.015917	0.000966	0.004025
18297	38601905	6.606916	7.162495	-0.045441	-0.019599	-0.003786	-0.003640
18298	38601930	6.680793	7.228756	-0.013091	0.022961	0.003958	-0.007887
18299	38601955	6.640259	7.241878	-0.056831	-0.026385	0.026004	0.004163
18300	38601980	6.612410	7.166529	-0.053760	-0.010037	-0.011170	-0.005060
18301	38602005	6.634959	7.255435	-0.021145	0.013410	0.007828	-0.004357
18302	38602030	6.630789	7.160010	-0.008558	-0.003330	0.009491	0.001171
18303	38602055	6.636463	7.237671	-0.038872	-0.004999	-0.005235	-0.012015
18304	38602080	6.615711	7.256603	-0.014037	-0.012404	0.005884	0.000049
18305	38602105	6.666443	7.168670	-0.004713	-0.005394	0.005098	-0.012320
18306	38602130	6.630958	7.252608	-0.019723	0.025378	-0.004607	-0.007801
18307	38602155	6.622925	7.219816	-0.036005	0.011848	0.018160	-0.003777
18308	38602180	6.649879	7.154791	-0.030668	-0.008091	0.007638	0.002344
18309	38602205	6.626861	7.248468	-0.022288	0.005342	0.002730	0.006418
18310	38602230	6.662610	7.225813	-0.044596	-0.016987	0.000927	-0.012213
18311	38602255	6.656020	7.218899	-0.028084	0.012571	-0.017025	0.002596
18312	38602280	6.650645	7.203864	-0.030749	0.005785	-0.000069	-0.000577
18313	38602305	6.634363	7.189951	-0.034742	-0.012560	-0.011243	-0.018294
18314	38602330	6.628189	7.243044	-0.030740	0.002244	-0.004280	-0.009516
18315	38602355	6.656456	7.205268	-0.001960	0.014116	0.011769	0.002627
18316	38602380	6.635377	7.217292	-0.027879	-0.007953	-0.008218	0.008926
18317	38602405	6.643001	7.258204	-0.045887	-0.005087	-0.014557	0.009015
18318	38602430	6.643774	7.203765	-0.032111	0.007990	-0.001581	0.005536
18319	38602455	6.653840	7.190268	-0.006130	-0.020623	-0.016844	0.007358
18320	38602480	6.641833	7.240466	-0.047109	-0.007412	-0.002764	0.001773
18321	38602505	6.636766	7.207790	-0.034816	-0.006323	0.022452	-0.010343
18322	38602530	6.669052	7.178124	-0.018512	0.009269	0.020884	-0.021781
18323	38602555	6.632496	7.226862	-0.020952	-0.001946	0.006427	-0.005196
18324	38602580	6.626807	7.245805	-0.021027	-0.009158	-0.002581	-0.007458
18325	38602605	6.619145	7.200752	-0.019472	-0.017288	-0.013718	-0.025001
18326	38602630	6.622081	7.193942	-0.012672	-0.006923	0.001884	0.016432
18327	38602655	6.626769	7.244402	-0.033359	0.008954	-0.006582	0.017987
18328	38602680	6.610568	7.217024	-0.027547	-0.011751	0.009793	-0.009067
18329	38602705	6.638208	7.213195	-0.029201	-0.000758	0.012699	-0.002369
18330	38602730	6.632381	7.241762	-0.023780	0.001496	-0.001007	0.007868
18331	38602755	6.626973	7.211756	-0.047100	0.014324	0.025581	0.011475
18332	38602780	6.640645	7.202338	-0.070596	0.012332	0.012593	0.001468
18333	38602805	6.656047	7.218902	-0.023968	0.005993	0.003503	0.001517
18334	38602830	6.632381	7.226749	-0.044381	0.006151	0.001071	0.001872
18335	38602855	6.642416	7.198254	-0.040240	0.014044	0.013657	-0.007024
18336	38602880	6.634244	7.217237	-0.009977	0.002864	0.005406	-0.001064
18337	38602905	6.654640	7.210699	-0.037711	0.004226	0.006789	-0.017646
