// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 03682B52
//  ProductCode: MTi-30-2A8G4
//  Firmware Version: 1.10.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
50111	48195507	-7.198126	6.645298	-0.000033	-0.022487	0.008574	0.009894
50112	48195532	-7.202015	6.618036	-0.012214	-0.002857	-0.007910	-0.000484
50113	48195557	-7.218376	6.616433	0.007110	-0.005473	-0.005509	0.014727
50114	48195582	-7.196090	6.597729	0.002783	-0.010733	0.004640	0.031346
50115	48195607	-7.207773	6.630145	-0.016282	-0.000349	0.006059	0.003810
50116	48195632	-7.223738	6.598767	-0.010694	0.009856	0.001685	-0.002998
50117	48195657	-7.225161	6.602689	0.004366	0.004831	-0.013316	-0.005719
50118	48195682	-7.227674	6.589108	0.007306	-0.007260	0.000192	-0.012597
50119	48195707	-7.236125	6.606716	0.005943	0.019291	0.004777	-0.004594
50120	48195732	-7.236507	6.627133	-0.007829	0.021595	0.008212	-0.001006
50121	48195757	-7.222470	6.598711	-0.014865	0.012761	-0.002442	0.010599
50122	48195782	-7.237908	6.627113	-0.010475	-0.007212	-0.000390	0.004658
50123	48195807	-7.229743	6.627258	-0.024309	-0.005208	0.005031	0.015371
50124	48195832	-7.203141	6.592099	-0.013684	-0.020772	0.002304	0.009024
50125	48195857	-7.214224	6.600161	-0.012172	0.010391	0.020966	-0.006460
50126	48195882	-7.240498	6.608030	-0.018678	0.006011	0.014700	-0.010164
50127	48195907	-7.185654	6.633193	-0.006947	0.002781	-0.003512	-0.010565
50128	48195932	-7.222543	6.613771	-0.012067	0.005780	-0.023474	-0.014107
50129	48195957	-7.239147	6.621685	-0.007759	-0.014596	0.001954	0.005481
50130	48195982	-7.210136	6.611069	0.000096	-0.000978	-0.007136	-0.004433
50131	48196007	-7.214097	6.615174	0.016756	-0.012200	0.022294	0.005342
50132	48196032	-7.216057	6.646448	-0.003887	-0.006436	0.009356	0.003269
50133	48196057	-7.247640	6.616090	-0.035241	-0.002247	-0.008124	0.014317
50134	48196082	-7.247721	6.636491	-0.014667	0.008991	0.002111	-0.006329
50135	48196107	-7.214476	6.634216	0.001719	0.009541	-0.005043	0.024268
50136	48196132	-7.215885	6.609643	-0.028682	0.011489	0.005406	-0.001928
50137	48196157	-7.236702	6.632634	-0.028393	0.000811	-0.003669	-0.005060
50138	48196182	-7.221324	6.624553	-0.002531	0.004266	0.018267	-0.010175
50139	48196207	-7.223950	6.612313	-0.010652	0.005019	0.007410	-0.025018
50140	48196232	-7.237856	6.617586	-0.017424	-0.003178	0.005008	-0.012015
50141	48196257	-7.220159	6.632773	-0.017580	-0.005920	0.001773	-0.005540
50142	48196282	-7.223632	6.606893	0.016820	-0.001113	-0.004190	-0.022651
50143	48196307	-7.219712	6.600148	-0.016268	0.002015	-0.003643	-0.009887
50144	48196332	-7.226642	6.602692	-0.009284	0.000298	0.021876	-0.006032
50145	48196357	-7.232296	6.617627	-0.009266	-0.018838	-0.000872	0.010870
50146	48196382	-7.229372	6.605407	-0.006519	0.008993	0.003502	-0.001034
50147	48196407	-7.254399	6.618784	-0.024150	-0.002873	-0.006771	0.014246
50148	48196432	-7.233390	6.583540	-0.018857	0.012770	-0.007251	0.002527
50149	48196457	-7.208784	6.615193	0.000221	-0.007410	-0.002551	-0.028351
50150	48196482	-7.205899	6.600255	-0.005407	0.005366	0.002471	0.009245
50151	48196507	-7.204786	6.627535	-0.002665	0.022250	0.009361	-0.013989
50152	48196532	-7.211460	6.602911	-0.006769	0.003782	0.016128	0.007087
50153	48196557	-7.223800	6.613671	0.009938	0.024523	0.015673	0.017710
50154	48196582	-7.189891	6.619485	-0.031627	-0.004061	0.007813	-0.009096
50155	48196607	-7.244146	6.590321	0.007381	0.003919	0.014676	0.002882
50156	48196632	-7.215650	6.609635	-0.000995	0.000165	-0.003545	0.006415
50157	48196657	-7.210079	6.605698	-0.008141	-0.016333	0.019504	0.006782
50158	48196682	-7.214187	6.611083	0.001649	-0.011425	-0.005782	0.011006
50159	48196707	-7.234511	6.594493	0.016968	0.005940	-0.018384	0.006114
50160	48196732	-7.234863	6.620334	0.014086	-0.000414	-0.003088	0.009680
50161	48196757	-7.221460	6.625920	-0.014755	0.003363	0.021689	0.015159
50162	48196782	-7.216977	6.611063	-0.003873	0.017773	0.006707	0.009467
50163	48196807	-7.220914	6.608315	0.011382	0.003988	-0.002071	-0.011060
50164	48196832	-7.215736	6.617849	-0.005185	-0.008203	0.008787	-0.004067
50165	48196857	-7.214285	6.616548	-0.002552	0.000396	-0.005528	-0.001588
50166	48196882	-7.203005	6.600377	0.002920	0.011133	-0.001568	0.009578
50167	48196907	-7.218749	6.635443	-0.003892	0.004618	0.001059	-0.002912
50168	48196932	-7.206286	6.630207	-0.009609	0.003694	-0.004615	-0.005201
50169	48196957	-7.197502	6.592200	-0.001293	0.003397	-0.001812	0.000429
50170	48196982	-7.223769	6.601342	0.004377	-0.011875	0.017922	-0.008918
50171	48197007	-7.245956	6.627063	0.005973	0.010006	0.007224	0.009617
50172	48197032	-7.223970	6.609546	-0.010732	-0.002755	0.000906	0.006475
50173	48197057	-7.219506	6.586555	-0.013355	0.012746	0.003333	0.005005
50174	48197082	-7.251064	6.586120	0.000606	-0.013028	-0.001736	0.002363
50175	48197107	-7.223828	6.602789	-0.007980	0.005002	0.002527	0.011349
50176	48197132	-7.232268	6.608044	-0.013410	-0.003637	-0.003350	-0.015998
50177	48197157	-7.236509	6.613576	-0.032607	-0.003304	0.002697	-0.009969
50178	48197182	-7.207553	6.601584	-0.031422	0.015919	0.019687	0.007324
50179	48197207	-7.223937	6.612308	-0.007872	-0.009643	-0.007169	-0.003198
50180	48197232	-7.203466	6.626169	-0.008113	-0.005560	-0.012706	-0.002842
50181	48197257	-7.200857	6.617988	-0.030201	-0.003582	-0.006717	0.002702
50182	48197282	-7.224039	6.613564	-0.005070	-0.006466	-0.010201	-0.003327
50183	48197307	-7.207416	6.620700	0.002881	0.004041	0.005943	0.015347
50184	48197332	-7.221233	6.634178	0.009915	-0.001432	0.013508	0.001608
50185	48197357	-7.224191	6.631365	-0.009447	0.002518	0.008927	0.013502
50186	48197382	-7.219904	6.624587	0.001692	0.002015	0.005461	-0.007066
50187	48197407	-7.228017	6.623198	0.005805	0.005934	-0.003375	-0.006501
50188	48197432	-7.215649	6.612451	-0.008117	0.006127	0.002837	-0.006522
50189	48197457	-7.219914	6.608178	-0.014755	-0.002743	0.005473	-0.001143
50190	48197482	-7.230834	6.609510	-0.012049	0.019115	0.028966	-0.004132
50191	48197507	-7.227978	6.610938	-0.003747	0.005640	-0.001411	0.014071
50192	48197532	-7.237801	6.617620	-0.016144	0.017664	0.011840	-0.000401
50193	48197557	-7.228204	6.620414	-0.010593	0.005846	0.010633	0.012605
50194	48197582	-7.228003	6.612289	-0.003764	0.013068	0.010189	0.012523
50195	48197607	-7.235038	6.618914	-0.002292	0.021864	-0.000508	0.010839
